what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362176973095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362176973239
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362176975277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362176978825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362176978963
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362176980570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362176995305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362176995452
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362176997141
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362177015245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177023133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177025133
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1362177046711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177077644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177083198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177085169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177087568
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362177090593
error,log,,,"Unhandled event loop exception",1362177090597
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362177097867
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362177116620
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362177116620
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362177119990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177123019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362177124895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362177124903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362177133232
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362177139945
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362177140035
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362177168766
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1362177191458
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362177194695
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362177204122
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362177206469
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362177208052
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362177214642
